/advice                   |web   |store/receiving/createPo.js:107               |POST  |/advice/update                            |MVC         |/advice/update
/advice                   |web   |store/receiving/createPo.js:94                |POST  |/advice/create                            |MVC         |/advice/create
/advice                   |web   |store/receiving/inboundNotices.js:135         |GET   |/advice/detailView                        |MVC         |/advice/detailView
/advice                   |web   |store/receiving/inboundNotices.js:146         |POST  |/advice/setPurchaseOrderNumber            |MVC         |/advice/setPurchaseOrderNumber
/advice                   |web   |store/receiving/inboundNotices.js:163         |POST  |/advice/closeInboundBol                   |MVC         |/advice/closeInboundBol
/advice                   |web   |store/receiving/inboundNotices.js:187         |DELETE|/advice/                                  |TRUNCATED   |cands=/advice/acceptHubAndSpokeBol/{id}/{locationId},/advice/adviceDetailsById/{id},/advice/closeInboundBol,/advice/closeInboundBol/{id},/advice/create,/advice/detailView,/advice/exportInboundNotice,/advice/fixHubAndSpokePalletIssues,/advice/setPurchaseOrderNumber,/advice/update
/advice                   |web   |store/receiving/inboundNotices.js:212         |GET   |/advice/acceptHubAndSpokeBol/             |TRUNCATED   |cands=/advice/acceptHubAndSpokeBol/{id}/{locationId}
/advice                   |web   |store/receiving/inboundNotices.js:234         |POST  |/advice/exportInboundNotice               |MVC         |/advice/exportInboundNotice
/advice                   |web   |store/receiving/inboundNotices.js:277         |GET   |/advice/detailView                        |MVC         |/advice/detailView
/advice                   |web   |store/receiving/inboundNotices.js:288         |GET   |/advice/adviceDetailsById/                |TRUNCATED   |cands=/advice/adviceDetailsById/{id}
/advice                   |web   |store/receiving/inboundNotices.js:380         |PATCH |/advice/                                  |TRUNCATED   |cands=/advice/acceptHubAndSpokeBol/{id}/{locationId},/advice/adviceDetailsById/{id},/advice/closeInboundBol,/advice/closeInboundBol/{id},/advice/create,/advice/detailView,/advice/exportInboundNotice,/advice/fixHubAndSpokePalletIssues,/advice/setPurchaseOrderNumber,/advice/update
/boxtype                  |web   |components/receiving/open/receive/receivingForm.vue:558|GET   |/boxtype/search/findByAdvicePositionId    |SDR         |SEARCH findByAdvicePositionId
/boxtype                  |web   |store/masterData/packaging.js:116             |PUT   |/boxtype/                                 |TRUNCATED   |cands=NONE
/boxtype                  |web   |store/masterData/packaging.js:89              |DELETE|/boxtype/                                 |TRUNCATED   |cands=NONE
/boxtype                  |web   |store/receiving/createPo.js:71                |GET   |/boxtype/search/findByBoxtypeprocesstype  |TRUNCATED   |cands=NONE
/client                   |web   |components/admin/shippers/shipperList.vue:205 |GET   |/client/detailViewById/                   |TRUNCATED   |cands=/client/detailViewById/{id}
/client                   |web   |components/receiving/open/receive/receivingForm.vue:565|GET   |/client/receivingPrintIdByNumber/         |TRUNCATED   |cands=/client/receivingPrintIdByNumber/{number}
/client                   |web   |store/admin/client.js:26                      |GET   |/client                                   |TRUNCATED   |cands=/client/allClients,/client/create,/client/detailView,/client/detailViewById/{id},/client/{id}/effectivePutawayDestination,/client/receivingPrintIdByNumber/{number},/client/setPrinter,/client/setSection,/client/toggleReceiving
/client                   |web   |store/admin/configuration.js:264              |GET   |/client/                                  |TRUNCATED   |cands=/client/allClients,/client/create,/client/detailView,/client/detailViewById/{id},/client/{id}/effectivePutawayDestination,/client/receivingPrintIdByNumber/{number},/client/setPrinter,/client/setSection,/client/toggleReceiving
/client                   |web   |store/admin/configuration.js:388              |-     |/client/{id}                              |COMMENTED-OUT|
/client                   |web   |store/admin/configuration.js:499              |GET   |/client/                                  |TRUNCATED   |cands=/client/allClients,/client/create,/client/detailView,/client/detailViewById/{id},/client/{id}/effectivePutawayDestination,/client/receivingPrintIdByNumber/{number},/client/setPrinter,/client/setSection,/client/toggleReceiving
/client                   |web   |store/admin/shippers.js:24                    |GET   |/client/detailView                        |MVC         |/client/detailView
/client                   |web   |store/admin/shippers.js:35                    |POST  |/client/create                            |MVC         |/client/create
/client                   |web   |store/admin/shippers.js:59                    |PATCH |/client/                                  |TRUNCATED   |cands=/client/allClients,/client/create,/client/detailView,/client/detailViewById/{id},/client/{id}/effectivePutawayDestination,/client/receivingPrintIdByNumber/{number},/client/setPrinter,/client/setSection,/client/toggleReceiving
/client                   |web   |store/admin/shippers.js:72                    |GET   |/client/                                  |TRUNCATED   |cands=/client/allClients,/client/create,/client/detailView,/client/detailViewById/{id},/client/{id}/effectivePutawayDestination,/client/receivingPrintIdByNumber/{number},/client/setPrinter,/client/setSection,/client/toggleReceiving
/client                   |web   |test/store/admin/shippersPutaway.spec.js:7    |-     |/client/{id}                              |COMMENTED-OUT|
