domainType	path	kind	exported	collectionVerbs	itemVerbs	writable
Advice	/advice	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Advice	/advice/search/findByExternalid	SEARCH	true	GET		read-only
Advice	/advice/search/findByKeywordAndState	SEARCH	true	GET		read-only
Advice	/advice/search/findByState	SEARCH	true	GET		read-only
Advice	/advice/search/findByTransferId	SEARCH	true	GET		read-only
Advice	/advice/search/updateAdviceToStateById	SEARCH	true	GET		read-only
Adviceposition	/adviceposition	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Adviceposition	/adviceposition/search/findByAdviceId	SEARCH	true	GET		read-only
Adviceposition	/adviceposition/search/generatePositionCountStringByAdviceId	SEARCH	true	GET		read-only
Adviceposition	/adviceposition/search/updateAdvicepositionToStateByAdviceId	SEARCH	true	GET		read-only
Billoflading	/billoflading	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Billoflading	/billoflading/search/deleteBolPositionsByInternalBolName	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/findBolParcelsByBolNumber	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/findByName	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/findByStateIn	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/findByStateInAndKeyword	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/findByStatesAndKeyword	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/findByTransferId	SEARCH	true	GET		read-only
Billoflading	/billoflading/search/getManifestLocationsOnBillOfLading	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
BillofladingPosition	/billofladingPosition/search/deleteBolPositionById	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/deleteBolPositionsCarrierIds	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findBolCarrierIdListByUnitLoadLabelId	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findBolIdByUnitLoadLabelId	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findBolNumberByUnitLoadLabelId	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findByBillofladingId	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findByBillofladingOrders	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findByCarrierId	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/findByUnitloadLabelIdList	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/getBySourceUnitLoadLabelId	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/getClosedBOLSkuAmountDetail	SEARCH	true	GET		read-only
BillofladingPosition	/billofladingPosition/search/getOpenBOLSkuAmountDetail	SEARCH	true	GET		read-only
Boxtype	/boxtype	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Boxtype	/boxtype/search/findByAdvicePositionId	SEARCH	true	GET		read-only
Boxtype	/boxtype/search/findByBoxtypeprocesstype	SEARCH	true	GET		read-only
Boxtype	/boxtype/search/findByExternalid	SEARCH	true	GET		read-only
Boxtype	/boxtype/search/findByName	SEARCH	true	GET		read-only
Boxtype	/boxtype/search/getDetailView	SEARCH	true	GET		read-only
Client	/client	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Client	/client/search/findAllByOrderByName	SEARCH	true	GET		read-only
Client	/client/search/findByClNr	SEARCH	true	GET		read-only
Client	/client/search/findByClNrIgnoreCase	SEARCH	true	GET		read-only
Client	/client/search/findByClientId	SEARCH	true	GET		read-only
Client	/client/search/findByName	SEARCH	true	GET		read-only
Client	/client/search/findByPrinterId	SEARCH	true	GET		read-only
Client	/client/search/getClientList	SEARCH	true	GET		read-only
Client	/client/search/getDetailView	SEARCH	true	GET		read-only
Client	/client/search/getTransactionDetail	SEARCH	true	GET		read-only
Client	/client/search/getTransactionSummary	SEARCH	true	GET		read-only
Client	/client/search/toggleEnableReceivingById	SEARCH	true	GET		read-only
Client	/client/search/updatePrinterToNullByPrinterId	SEARCH	true	GET		read-only
Customerorder	/customerorder	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Customerorder	/customerorder/search/findByExternalIdList	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByExternalNumber	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByExternalNumberIn	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByHistorytote	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByKeyword	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByNumber	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByOrderbatchId	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByParcelExternalNumber	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByShipperidId	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/findByState	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getByParcelIdList	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getByParcelLabelId	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getManifestLocationsByPalletName	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getNumUniqueSkusById	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getOrderByToteLabelId	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getOrderViewsByBatchId	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getOrderViewsByBolId	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/getOrdersByBatchStatesAndTypeAndKeyword	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/markClientHasNoSection	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/releaseDueFutureTransferOrders	SEARCH	true	GET		read-only
Customerorder	/customerorder/search/updateStateByIds	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
CustomerorderBatch	/customerorderBatch/search/findByBatchid	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateAndType	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateAndTypeAndKeywordPage	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateGreaterThanAndKeyword	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateGreaterThanAndStateLessThanAndKeyword	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateGreaterThanAndStateLessThanPage	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateGreaterThanPage	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateLessThanAndKeyword	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByStateLessThanPage	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findByTransferid	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/findStaleClubBatchIds	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/getActiveClubBatch	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/getAllTransferBatchOrders	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/getInactiveTransferBatchOrders	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/getOrderContentsByBatchId	SEARCH	true	GET		read-only
CustomerorderBatch	/customerorderBatch/search/getTransferBatchOrders	SEARCH	true	GET		read-only
