"schemaname","tablename","indexname","indexdef"
public,advice,advice_pkey,CREATE UNIQUE INDEX advice_pkey ON public.advice USING btree (id)
public,advice,uk_4d13b6sg589c6y88tkm98xl89,CREATE UNIQUE INDEX uk_4d13b6sg589c6y88tkm98xl89 ON public.advice USING btree (externalid)
public,adviceposition,adviceposition_pkey,CREATE UNIQUE INDEX adviceposition_pkey ON public.adviceposition USING btree (id)
public,billoflading,billoflading_pkey,CREATE UNIQUE INDEX billoflading_pkey ON public.billoflading USING btree (id)
public,billoflading_position,billoflading_position_pkey,CREATE UNIQUE INDEX billoflading_position_pkey ON public.billoflading_position USING btree (id)
public,billoflading_position,index_billoflading_position_billoflading_id,CREATE INDEX index_billoflading_position_billoflading_id ON public.billoflading_position USING btree (billoflading_id)
public,billoflading_position,index_billoflading_position_carrier_id,CREATE INDEX index_billoflading_position_carrier_id ON public.billoflading_position USING btree (carrier_id)
public,billoflading_position,index_billoflading_position_client_id,CREATE INDEX index_billoflading_position_client_id ON public.billoflading_position USING btree (client_id)
public,billoflading_position,index_billoflading_position_itemdata_id,CREATE INDEX index_billoflading_position_itemdata_id ON public.billoflading_position USING btree (itemdata_id)
public,billoflading_position,index_billoflading_position_number,CREATE INDEX index_billoflading_position_number ON public.billoflading_position USING btree (number)
public,billoflading_position,index_billoflading_position_number_lower,CREATE INDEX index_billoflading_position_number_lower ON public.billoflading_position USING btree (lower((number)::text))
public,billoflading_position,index_billoflading_position_operator_id,CREATE INDEX index_billoflading_position_operator_id ON public.billoflading_position USING btree (operator_id)
public,billoflading_position,index_billoflading_position_order_id,CREATE INDEX index_billoflading_position_order_id ON public.billoflading_position USING btree (order_id)
public,billoflading_position,index_billoflading_position_orderposition_id,CREATE INDEX index_billoflading_position_orderposition_id ON public.billoflading_position USING btree (orderposition_id)
public,billoflading_position,index_billoflading_position_source_id,CREATE INDEX index_billoflading_position_source_id ON public.billoflading_position USING btree (source_id)
public,boxtype,boxtype_pkey,CREATE UNIQUE INDEX boxtype_pkey ON public.boxtype USING btree (id)
public,boxtype,uk_mjiit1w0ih8dm5bceqst00ubt,CREATE UNIQUE INDEX uk_mjiit1w0ih8dm5bceqst00ubt ON public.boxtype USING btree (externalid)
public,client,client_pkey,CREATE UNIQUE INDEX client_pkey ON public.client USING btree (id)
public,client,uk_dn5jasds5r1j3ewo5k3nhwkkq,CREATE UNIQUE INDEX uk_dn5jasds5r1j3ewo5k3nhwkkq ON public.client USING btree (name)
public,client,uk_e2cgvit466blvvac3y77crsyg,CREATE UNIQUE INDEX uk_e2cgvit466blvvac3y77crsyg ON public.client USING btree (cl_nr)
public,customerorder,customerorder_pkey,CREATE UNIQUE INDEX customerorder_pkey ON public.customerorder USING btree (id)
public,customerorder,index_customerorder_boxtype_id,CREATE INDEX index_customerorder_boxtype_id ON public.customerorder USING btree (boxtype_id)
public,customerorder,index_customerorder_client_id,CREATE INDEX index_customerorder_client_id ON public.customerorder USING btree (client_id)
public,customerorder,index_customerorder_externalnumber,CREATE UNIQUE INDEX index_customerorder_externalnumber ON public.customerorder USING btree (externalnumber)
public,customerorder,index_customerorder_orderbatch_id,CREATE INDEX index_customerorder_orderbatch_id ON public.customerorder USING btree (orderbatch_id)
public,customerorder,index_customerorder_parcel_id,CREATE INDEX index_customerorder_parcel_id ON public.customerorder USING btree (parcel_id)
public,customerorder,index_customerorder_pickingtote_id,CREATE INDEX index_customerorder_pickingtote_id ON public.customerorder USING btree (pickingtote_id)
public,customerorder,index_customerorder_shipperid_id,CREATE INDEX index_customerorder_shipperid_id ON public.customerorder USING btree (shipperid_id)
public,customerorder,index_customerorder_state,CREATE INDEX index_customerorder_state ON public.customerorder USING btree (state)
public,customerorder,index_customerorder_transferlane_id,CREATE INDEX index_customerorder_transferlane_id ON public.customerorder USING btree (transferlane_id)
public,customerorder_batch,customerorder_batch_pkey,CREATE UNIQUE INDEX customerorder_batch_pkey ON public.customerorder_batch USING btree (id)
public,customerorder_batch,index_customerorder_batch_client_id,CREATE INDEX index_customerorder_batch_client_id ON public.customerorder_batch USING btree (client_id)
public,customerorder_batch,index_customerorder_batch_staginglane_id,CREATE INDEX index_customerorder_batch_staginglane_id ON public.customerorder_batch USING btree (staginglane_id)
public,customerorder_batch,uk_hsst0psb47fsttxg3uw9ot1v5,CREATE UNIQUE INDEX uk_hsst0psb47fsttxg3uw9ot1v5 ON public.customerorder_batch USING btree (batchid)
public,customerorder_old,uk_3gimugm3yg5ft57rqwdm7jw6a,CREATE UNIQUE INDEX uk_3gimugm3yg5ft57rqwdm7jw6a ON public.customerorder_old USING btree (number)
public,customerorder_position,customerorder_position_pkey,CREATE UNIQUE INDEX customerorder_position_pkey ON public.customerorder_position USING btree (id)
public,customerorder_position,index_customerorder_position_client_id,CREATE INDEX index_customerorder_position_client_id ON public.customerorder_position USING btree (client_id)
public,customerorder_position,index_customerorder_position_externalid,CREATE UNIQUE INDEX index_customerorder_position_externalid ON public.customerorder_position USING btree (externalid)
public,customerorder_position,index_customerorder_position_itemdata_id,CREATE INDEX index_customerorder_position_itemdata_id ON public.customerorder_position USING btree (itemdata_id)
public,customerorder_position,index_customerorder_position_number_lower,CREATE UNIQUE INDEX index_customerorder_position_number_lower ON public.customerorder_position USING btree (lower((number)::text))
public,customerorder_position,index_customerorder_position_order_id,CREATE INDEX index_customerorder_position_order_id ON public.customerorder_position USING btree (order_id)
public,customerorder_position,index_customerorder_position_state,CREATE INDEX index_customerorder_position_state ON public.customerorder_position USING btree (state)
public,customerorder_position,uk8e05s6sraguqv58oo90bptfcc,"CREATE UNIQUE INDEX uk8e05s6sraguqv58oo90bptfcc ON public.customerorder_position USING btree (client_id, number)"
public,cyclecount,cyclecount_pkey,CREATE UNIQUE INDEX cyclecount_pkey ON public.cyclecount USING btree (id)
public,cyclecount_position,cyclecount_position_pkey,CREATE UNIQUE INDEX cyclecount_position_pkey ON public.cyclecount_position USING btree (id)
public,fix_location_assignment,fix_location_assignment_pkey,CREATE UNIQUE INDEX fix_location_assignment_pkey ON public.fix_location_assignment USING btree (id)
public,fix_location_assignment,uk_9fquk8dxneipre4peebi9pacj,CREATE UNIQUE INDEX uk_9fquk8dxneipre4peebi9pacj ON public.fix_location_assignment USING btree (assignedunitload_id)
public,fix_location_assignment,uk_k2oy160252pn1o7comeeqbjt8,CREATE UNIQUE INDEX uk_k2oy160252pn1o7comeeqbjt8 ON public.fix_location_assignment USING btree (itemdata_id)
public,fix_location_assignment,uk_qakwvmdhdymic54v3dgie46wa,CREATE UNIQUE INDEX uk_qakwvmdhdymic54v3dgie46wa ON public.fix_location_assignment USING btree (assignedlocation_id)
public,goodsreceipt,goodsreceipt_pkey,CREATE UNIQUE INDEX goodsreceipt_pkey ON public.goodsreceipt USING btree (id)
public,goodsreceiptposition,goodsreceiptposition_pkey,CREATE UNIQUE INDEX goodsreceiptposition_pkey ON public.goodsreceiptposition USING btree (id)
public,inventory_record,inventory_record_pkey,CREATE UNIQUE INDEX inventory_record_pkey ON public.inventory_record USING btree (id)
public,itemdata,index_itemdata_defaultboxtype_id,CREATE INDEX index_itemdata_defaultboxtype_id ON public.itemdata USING btree (defaultboxtype_id)
public,itemdata,index_itemdata_defultype_id,CREATE INDEX index_itemdata_defultype_id ON public.itemdata USING btree (defultype_id)
public,itemdata,index_itemdata_handlingunit_id,CREATE INDEX index_itemdata_handlingunit_id ON public.itemdata USING btree (handlingunit_id)
public,itemdata,index_itemdata_putawaylocation_id,CREATE INDEX index_itemdata_putawaylocation_id ON public.itemdata USING btree (putawaylocation_id)
public,itemdata,itemdata_pkey,CREATE UNIQUE INDEX itemdata_pkey ON public.itemdata USING btree (id)
public,itemdata,uk3l3dgof3l6mc1dl7s3lmida65,"CREATE UNIQUE INDEX uk3l3dgof3l6mc1dl7s3lmida65 ON public.itemdata USING btree (client_id, item_nr)"
public,itemunit,itemunit_pkey,CREATE UNIQUE INDEX itemunit_pkey ON public.itemunit USING btree (id)
public,location,index_location_area_id,CREATE INDEX index_location_area_id ON public.location USING btree (area_id)
public,location,index_location_client_id,CREATE INDEX index_location_client_id ON public.location USING btree (client_id)
public,location,index_location_rack_id,CREATE INDEX index_location_rack_id ON public.location USING btree (rack_id)
public,location,index_location_type_id,CREATE INDEX index_location_type_id ON public.location USING btree (type_id)
public,location,location_pkey,CREATE UNIQUE INDEX location_pkey ON public.location USING btree (id)
public,location,uk_sahixf1v7f7xns19cbg12d946,CREATE UNIQUE INDEX uk_sahixf1v7f7xns19cbg12d946 ON public.location USING btree (name)
public,location_area,location_area_pkey,CREATE UNIQUE INDEX location_area_pkey ON public.location_area USING btree (id)
public,location_area,uk1yikbf06ancc8sh1eih66vyqq,"CREATE UNIQUE INDEX uk1yikbf06ancc8sh1eih66vyqq ON public.location_area USING btree (name, client_id)"
public,location_constraint,location_constraint_pkey,CREATE UNIQUE INDEX location_constraint_pkey ON public.location_constraint USING btree (id)
public,location_constraint,uk_kna17in0nyt91crkgatdgcv9w,CREATE UNIQUE INDEX uk_kna17in0nyt91crkgatdgcv9w ON public.location_constraint USING btree (name)
public,location_constraint,uk_p6ohx97g5oawxxqo7s5ug066a,CREATE UNIQUE INDEX uk_p6ohx97g5oawxxqo7s5ug066a ON public.location_constraint USING btree (number)
public,location_rack,location_rack_pkey,CREATE UNIQUE INDEX location_rack_pkey ON public.location_rack USING btree (id)
public,location_rack,uk_3fhptn50xq7nb64xs7x5kuuct,CREATE UNIQUE INDEX uk_3fhptn50xq7nb64xs7x5kuuct ON public.location_rack USING btree (number)
public,location_rack,ukae8vssslcocvqr9iiy1f2v3bi,"CREATE UNIQUE INDEX ukae8vssslcocvqr9iiy1f2v3bi ON public.location_rack USING btree (name, client_id)"
public,location_rack_row,location_rack_row_pkey,CREATE UNIQUE INDEX location_rack_row_pkey ON public.location_rack_row USING btree (id)
public,location_type,location_type_pkey,CREATE UNIQUE INDEX location_type_pkey ON public.location_type USING btree (id)
public,location_type,uk6tfxecm25273pwxdnue0dhrc3,CREATE UNIQUE INDEX uk6tfxecm25273pwxdnue0dhrc3 ON public.location_type USING btree (sltname)
public,los_sequencenumber,los_sequencenumber_pkey,CREATE UNIQUE INDEX los_sequencenumber_pkey ON public.los_sequencenumber USING btree (classname)
public,los_sysprop,los_sysprop_pkey,CREATE UNIQUE INDEX los_sysprop_pkey ON public.los_sysprop USING btree (id)
